filename,width,height,class,xmin,ymin,xmax,ymax
0.jpg,617,1024,fracture,341,686,445,805
1.jpg,442,442,fracture,263,235,300,278
10.jpg,800,531,fracture,291,225,352,309
100.jpg,347,751,fracture,92,379,172,507
101.jpg,580,951,fracture,467,556,536,650
102.jpg,698,1024,fracture,130,535,230,652
103.jpg,198,332,fracture,83,212,111,250
104.jpg,258,626,fracture,48,265,150,367
105.jpg,477,716,fracture,303,469,357,540
106.jpg,527,752,fracture,349,492,405,560
107.jpg,285,380,fracture,191,193,218,227
107.jpg,285,380,fracture,215,210,244,242
108.jpg,697,1024,fracture,491,579,561,674
109.jpg,759,1024,fracture,349,776,398,840
11.jpg,697,1024,fracture,479,578,568,685
110.jpg,227,380,fracture,78,164,139,271
111.jpg,226,299,fracture,80,132,133,219
112.jpg,226,296,fracture,26,171,62,209
113.jpg,228,302,fracture,74,155,111,219
113.jpg,228,302,fracture,110,147,147,220
114.jpg,377,327,fracture,32,133,102,236
114.jpg,377,327,fracture,237,116,346,238
115.jpg,175,320,fracture,31,125,78,219
115.jpg,175,320,fracture,101,123,157,218
116.jpg,0,0,fracture,124,28,155,55
116.jpg,0,0,fracture,73,34,105,58
117.jpg,800,1093,fracture,324,701,419,789
118.jpg,170,450,fracture,79,271,128,328
119.jpg,206,450,fracture,74,262,130,319
12.jpg,380,630,fracture,285,328,342,401
120.jpg,0,0,fracture,199,195,241,242
121.jpg,480,1024,fracture,296,174,363,257
122.jpg,824,1199,fracture,521,615,598,853
123.jpg,422,746,fracture,292,262,329,370
124.jpg,538,658,fracture,379,446,429,513
125.jpg,301,442,fracture,201,240,233,279
126.jpg,759,1024,fracture,676,503,710,537
126.jpg,759,1024,fracture,365,794,383,830
127.jpg,480,585,fracture,108,269,160,334
128.jpg,768,923,fracture,379,621,403,656
129.jpg,555,865,fracture,134,395,170,421
13.jpg,500,682,fracture,170,159,278,261
130.jpg,263,371,fracture,37,208,57,230
131.jpg,305,500,fracture,217,228,254,269
132.jpg,323,500,fracture,241,232,273,270
133.jpg,372,370,fracture,156,120,193,166
134.jpg,287,502,fracture,117,243,168,306
134.jpg,287,502,fracture,68,144,114,195
134.jpg,287,502,fracture,150,306,205,361
134.jpg,287,502,fracture,180,347,224,387
135.jpg,662,1024,fracture,424,89,499,174
136.jpg,580,951,fracture,468,564,530,646
137.jpg,751,955,fracture,370,61,411,113
138.jpg,245,450,fracture,83,159,116,214
139.jpg,580,951,fracture,468,569,531,643
14.jpg,495,835,fracture,181,412,249,573
140.jpg,800,1093,fracture,320,711,414,782
